"endTime","artistName","trackName","msPlayed"
"2022-07-02 20:03","Stratovarius","Speed of Light",21594
"2022-07-02 20:04","Twilight Force","The Power of the Ancient Force",1872
"2022-07-02 20:04","ANGRA","The Temple of Hate",554
"2022-07-02 20:04","Luca Turilli (Band)","The Ancient Forest of Elves",13322
"2022-07-02 20:04","Rhapsody","Emerald Sword",264
"2022-07-02 20:04","Dark Moor","A New World",1230
"2022-07-02 20:05","HammerFall","Hearts on Fire",44303
"2022-07-02 20:09","Sabaton","The Last Stand",235840
"2022-07-02 20:12","Jimmy Gnecco","It Has To Be This Way - Platinum Mix",175506
"2022-07-02 20:15","Brothers of Metal","Prophecy of Ragnarök",222373
"2022-07-02 20:19","Gloryhammer","Hootsforce",41278
"2022-07-02 20:19","Amaranthe","Digital World",1192
"2022-07-02 20:19","Alestorm","Drink",202586
"2022-07-02 20:19","Beast In Black","Cry Out For A Hero",2350
"2022-07-02 20:32","Sabaton","The Red Baron",141230
"2022-07-04 00:19","Sabaton","The Red Baron",61904
"2022-07-04 00:23","Brothers of Metal","Gods of War",234841
"2022-07-04 00:26","Korpiklaani","Ieva'S Polka",188383
"2022-07-04 00:32","Wind Rose","Diggy Diggy Hole",316046
"2022-07-04 00:36","Alestorm","Treasure Chest Party Quest",256417
"2022-07-04 00:37","Beast In Black","No Surrender",0
"2022-07-04 00:37","Equilibrium","Himmelsrand",34470
"2022-07-04 00:40","Sabaton","Winged Hussars",231521
"2022-07-04 00:44","Brothers of Metal","Son of Odin",239374
"2022-07-04 01:01","Korpiklaani","A Man with a Plan",169431
"2022-07-04 01:01","Bloodbound","Silver Wings",6232
"2022-07-04 01:04","Powerwolf","Army of the Night",201386
"2022-07-04 01:21","Beast In Black","Blind And Frozen",45279
"2022-07-04 10:40","RichaadEB","Night of Nights",23
"2022-07-04 10:40","Scatman John","Scatman's World",865
"2022-07-04 10:40","fun.","Some Nights",5090
"2022-07-04 10:40","Os Kmaradas","Os Seis Manés",3196
"2022-07-04 10:41","RichaadEB","Night of Nights",684
"2022-07-04 10:41","Laura Shigihara","Loonboon",1173
"2022-07-04 10:44","Os Kmaradas","Os Seis Manés",192862
"2022-07-04 10:47","RichaadEB","Night of Nights",199375
"2022-07-04 10:47","Laura Shigihara","Loonboon",12789
"2022-07-04 10:51","Alestorm","Drink",202586
"2022-07-04 10:53","Jason Charles Miller","Red Sun - Maniac Agenda Mix",133723
"2022-07-04 10:55","Halfbrick","Jetpack Joyride Main Theme",133110
"2022-07-04 10:56","Powerwolf","Amen & Attack",0
"2022-07-04 10:56","Mick Gordon","Rip & Tear",570
"2022-07-04 10:56","Kit Walters","The Stains of Time - Maniac Agenda Mix",23
"2022-07-04 10:56","Michael Jackson","Bad",576
"2022-07-04 10:56","RichaadEB","Night of Nights",0
"2022-07-04 10:56","Scatman John","Scatman's World",23
"2022-07-04 10:56","Donna Burke","Sins of The Father",324
"2022-07-04 10:56","Donna Burke","Sins of The Father",0
"2022-07-04 10:56","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",23
"2022-07-04 10:56","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",574
"2022-07-04 10:56","Wind Rose","Diggy Diggy Hole",88
"2022-07-04 10:56","Wind Rose","Diggy Diggy Hole",535
"2022-07-04 10:56","Jimmy Gnecco","It Has To Be This Way - Platinum Mix",23
"2022-07-04 10:56","Laura Shigihara","Loonboon",441
"2022-07-04 10:56","Foster The People","Pumped Up Kicks",0
"2022-07-04 10:56","Michael Jackson","The Way You Make Me Feel - 2012 Remaster",35820
"2022-07-04 10:56","Michael Jackson","The Way You Make Me Feel - 2012 Remaster",0
"2022-07-04 10:56","MGMT","Kids",3703
"2022-07-04 10:56","Alestorm","Drink",650
"2022-07-04 10:56","Hampton The Hampster","The HampsterDance Song",2530
"2022-07-04 10:56","DragonForce","Through The Fire And Flames",416
"2022-07-04 10:56","Blondie","One Way Or Another - Remastered 2001",552
"2022-07-04 10:56","RichaadEB","Devil Trigger",2636
"2022-07-04 10:56","RichaadEB","Devil Trigger",0
"2022-07-04 10:56","Jason Charles Miller","Red Sun - Maniac Agenda Mix",495
"2022-07-04 10:56","MILKBLOOD","SICK OF BEING HONEST",696
"2022-07-04 10:56","Qumu","Waluigi Pinball / Wario Stadium (From ""Mario Kart DS"")",376
"2022-07-04 10:56","fun.","Some Nights",1360
"2022-07-04 10:56","fun.","Some Nights",271
"2022-07-04 10:56","Halfbrick","Jetpack Joyride Main Theme",23
"2022-07-04 10:56","Brothers of Metal","Prophecy of Ragnarök",757
"2022-07-04 10:56","Sabaton","The Red Baron",0
"2022-07-04 10:56","Os Kmaradas","Os Seis Manés",1666
"2022-07-04 10:56","Mick Gordon","At Doom's Gate",23
"2022-07-04 10:59","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",146333
"2022-07-04 10:59","Halfbrick","Jetpack Joyride Main Theme",6483
"2022-07-04 11:01","Donna Burke","Sins of The Father",96520
"2022-07-04 11:06","Wind Rose","Diggy Diggy Hole",316046
"2022-07-04 11:18","Brothers of Metal","Prophecy of Ragnarök",24603
"2022-07-04 16:03","Brothers of Metal","Prophecy of Ragnarök",198166
"2022-07-04 16:17","Michael Jackson","Smooth Criminal - 2012 Remaster",208722
"2022-07-04 17:53","Michael Jackson","Smooth Criminal - 2012 Remaster",49391
"2022-07-04 17:57","Jimmy Gnecco","Collective Consciousness - Maniac Agenda Mix",158760
"2022-07-04 18:00","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",146333
"2022-07-04 18:04","Eiffel 65","Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio",283771
"2022-07-04 18:08","Alestorm","Drink",202586
"2022-07-04 18:11","RichaadEB","Night of Nights",199375
"2022-07-04 18:18","DragonForce","Through The Fire And Flames",439159
"2022-07-04 18:22","Brothers of Metal","Prophecy of Ragnarök",222373
"2022-07-04 18:23","Gloryhammer","Hootsforce",72196
"2022-07-04 18:23","Jimmy Gnecco","It Has To Be This Way - Platinum Mix",0
"2022-07-04 18:23","Laura Shigihara","Loonboon",3575
"2022-07-04 18:23","Halfbrick","Jetpack Joyride Main Theme",2984
"2022-07-04 18:23","Mick Gordon","At Doom's Gate",118
"2022-07-04 18:23","Mick Gordon","At Doom's Gate",236
"2022-07-04 18:24","Laura Shigihara","Loonboon",3868
"2022-07-04 18:24","Halfbrick","Jetpack Joyride Main Theme",9626
"2022-07-04 18:24","Mick Gordon","At Doom's Gate",1
"2022-07-04 18:25","DragonForce","Fury Of The Storm",0
"2022-07-04 18:25","Halfbrick","Jetpack Joyride Main Theme",22137
"2022-07-04 18:25","Mick Gordon","At Doom's Gate",70770
"2022-07-04 18:30","Max Coveri","Running in the 90's",146448
"2022-07-04 18:33","Jason Charles Miller","Red Sun - Maniac Agenda Mix",133723
"2022-07-04 18:47","Sabaton","The Attack of the Dead Men",165527
"2022-07-04 18:59","Sabaton","The Attack of the Dead Men",70715
"2022-07-04 19:09","Qumu","Waluigi Pinball / Wario Stadium (From ""Mario Kart DS"")",18466
"2022-07-04 20:00","Qumu","Waluigi Pinball / Wario Stadium (From ""Mario Kart DS"")",114082
"2022-07-04 20:01","Scatman John","Scatman's World",73660
"2022-07-04 20:16","Mick Gordon","Rip & Tear",147934
"2022-07-04 22:41","Mick Gordon","Rip & Tear",7702
"2022-07-04 23:02","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",74971
"2022-07-05 03:13","60's 70's 80's 90's Hits","Hip to Be Square",233662
"2022-07-05 03:15","Kit Walters","The Stains of Time - Maniac Agenda Mix",130186
"2022-07-05 03:17","Jason Charles Miller","Red Sun - Maniac Agenda Mix",133723
"2022-07-05 03:20","Jimmy Gnecco","Collective Consciousness - Maniac Agenda Mix",158760
"2022-07-05 03:22","London Music Works","Yakety Sax (From ""The Benny Hill Show"")",126386
"2022-07-05 03:32","The Tokens","The Lion Sleeps Tonight",22101
"2022-07-05 11:19","Blondie","One Way Or Another - Remastered 2001",65387
"2022-07-05 11:52","Blondie","One Way Or Another - Remastered 2001",150753
"2022-07-05 12:08","Michael Jackson","The Way You Make Me Feel - 2012 Remaster",298120
"2022-07-05 12:18","Donna Burke","Sins of The Father",294000
"2022-07-05 12:21","Brothers of Metal","Prophecy of Ragnarök",222373
"2022-07-05 12:24","Kit Walters","The Stains of Time - Maniac Agenda Mix",130186
"2022-07-05 12:25","Laura Shigihara","Loonboon",60733
"2022-07-05 12:25","fun.","Some Nights",0
"2022-07-05 12:27","Jason Charles Miller","Red Sun - Maniac Agenda Mix",133723
"2022-07-05 12:30","Alestorm","Drink",202586
"2022-07-05 12:31","Hampton The Hampster","The HampsterDance Song",63399
"2022-07-05 12:31","Qumu","Waluigi Pinball / Wario Stadium (From ""Mario Kart DS"")",0
"2022-07-05 12:34","Jimmy Gnecco","It Has To Be This Way - Platinum Mix",175506
"2022-07-05 12:36","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",123246
"2022-07-05 12:46","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",23087
"2022-07-05 12:49","Jimmy Gnecco","Collective Consciousness - Maniac Agenda Mix",158760
"2022-07-05 12:59","Casey Edwards","Bury the Light",582426
"2022-07-05 13:08","Mick Gordon","Rip & Tear",257734
"2022-07-05 13:11","RichaadEB","Devil Trigger",194437
"2022-07-05 13:23","Foster The People","Pumped Up Kicks",70343
"2022-07-05 14:33","Foster The People","Pumped Up Kicks",170699
"2022-07-05 14:47","Sabaton","The Red Baron",99307
"2022-07-05 15:14","Sabaton","The Red Baron",103527
"2022-07-05 15:19","Michael Jackson","Smooth Criminal - 2012 Remaster",257760
"2022-07-05 15:26","DragonForce","Through The Fire And Flames",439159
"2022-07-05 15:31","Wind Rose","Diggy Diggy Hole",316046
"2022-07-05 15:32","Halfbrick","Jetpack Joyride Main Theme",41619
"2022-07-05 15:43","RichaadEB","Night of Nights",35842
"2022-07-05 16:39","RichaadEB","Night of Nights",91449
"2022-07-05 16:39","BEAT MARIO","ナイト・オブ・ナイツ",33795
"2022-07-05 16:39","Mick Gordon","At Doom's Gate",1064
"2022-07-05 16:40","Powerwolf","Amen & Attack",1164
"2022-07-05 16:40","Michael Jackson","Bad",571
"2022-07-05 16:40","Michael Jackson","Bad",1050
"2022-07-05 16:40","Scatman John","Scatman's World",597
"2022-07-05 16:40","MGMT","Kids",1196
"2022-07-05 16:40","Os Kmaradas","Os Seis Manés",775
"2022-07-05 16:44","Powerwolf","Amen & Attack",234693
"2022-07-05 16:48","Michael Jackson","Bad",247133
"2022-07-05 16:51","Os Kmaradas","Os Seis Manés",192862
"2022-07-05 16:57","MILKBLOOD","SICK OF BEING HONEST",192813
"2022-07-05 17:22","DragonForce","Through The Fire And Flames",439159
"2022-07-05 17:26","Brothers of Metal","Prophecy of Ragnarök",222373
"2022-07-05 17:28","Mick Gordon","At Doom's Gate",70770
"2022-07-05 17:32","Gloryhammer","Hootsforce",230293
"2022-07-05 17:38","Korpiklaani","A Man with a Plan",179885
"2022-07-05 17:40","Max Coveri","Running in the 90's",146448
"2022-07-05 17:51","Jimmy Gnecco","Collective Consciousness - Maniac Agenda Mix",69319
"2022-07-05 18:34","Jimmy Gnecco","Collective Consciousness - Maniac Agenda Mix",89776
"2022-07-05 18:38","Alestorm","Drink",202586
"2022-07-05 18:39","Scatman John","Scatman's World",9529
"2022-07-05 18:39","RichaadEB","Devil Trigger",1124
"2022-07-05 18:39","MILKBLOOD","SICK OF BEING HONEST",1385
"2022-07-05 18:51","Korpiklaani","Ieva'S Polka",79785
"2022-07-05 20:12","Korpiklaani","Ieva'S Polka",18532
"2022-07-05 20:14","Omarzinho","Sexo de Pai",158244
"2022-07-05 20:25","Brothers of Metal","Son of Odin",40387
"2022-07-05 20:49","Brothers of Metal","Son of Odin",931
"2022-07-05 21:01","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",92363
"2022-07-05 21:50","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",54189
"2022-07-05 21:51","Qumu","Waluigi Pinball / Wario Stadium (From ""Mario Kart DS"")",75045
"2022-07-05 21:52","Mick Gordon","Rip & Tear",2312
"2022-07-05 21:52","RichaadEB","Bad Apple!!",1058
"2022-07-05 21:56","Donna Burke","Sins of The Father",294000
"2022-07-05 21:57","Amaranthe","Digital World",40432
"2022-07-05 22:04","DragonForce","Fury Of The Storm",406883
"2022-07-05 22:24","Jimmy Gnecco","It Has To Be This Way - Platinum Mix",37732
"2022-07-05 23:15","Jimmy Gnecco","It Has To Be This Way - Platinum Mix",139445
"2022-07-05 23:17","Halfbrick","Jetpack Joyride Main Theme",133110
"2022-07-05 23:21","Foster The People","Pumped Up Kicks",239600
"2022-07-05 23:24","RichaadEB","Night of Nights",199375
"2022-07-05 23:37","Laura Shigihara","Loonboon",104084
"2022-07-06 12:36","Korpiklaani","Ievan Polkka",1023
"2022-07-06 12:40","Brothers of Metal","Ride of the Valkyries",206727
"2022-07-06 12:42","Free Dominguez","A Stranger I Remain - Maniac Agenda Mix",145706
"2022-07-06 12:47","MGMT","Kids",302840
"2022-07-06 12:52","Wind Rose","Diggy Diggy Hole",316046
"2022-07-06 13:02","Os Kmaradas","Os Seis Manés",192862
"2022-07-06 13:13","Sabaton","The Attack of the Dead Men",235720
"2022-07-06 13:27","DragonForce","Ashes of the Dawn",223299
"2022-07-06 14:13","DragonForce","Ashes of the Dawn",50632
"2022-07-06 14:18","Kit Walters","The Stains of Time - Maniac Agenda Mix",0
"2022-07-06 14:18","Equilibrium","Himmelsrand",138092
"2022-07-06 14:31","SEGA SOUND TEAM","Super Sonic Racing",130052
"2022-07-06 16:27","SEGA SOUND TEAM","Super Sonic Racing",112216
